Id,MSSubClass,LotFrontage,LotArea,Street,BldgType,OverallQual,YearBuilt,TotalBsmtSF,FullBath,HalfBath,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
1,60,65,8450,Pave,1Fam,7,2003,856,2,1,0,NA,Attchd,2003,RFn,2,548,208500
2,20,80,9600,Pave,1Fam,6,1976,1262,2,0,1,TA,Attchd,1976,RFn,2,460,181500
3,60,68,11250,Pave,1Fam,7,2001,920,2,1,1,TA,Attchd,2001,RFn,2,608,223500
4,70,60,9550,Pave,1Fam,7,1915,756,1,0,1,Gd,Detchd,1998,Unf,3,642,140000
5,60,84,14260,Pave,1Fam,8,2000,1145,2,1,1,TA,Attchd,2000,RFn,3,836,250000
6,50,85,14115,Pave,1Fam,5,1993,796,1,1,0,NA,Attchd,1993,Unf,2,480,143000
7,20,75,10084,Pave,1Fam,8,2004,1686,2,0,1,Gd,Attchd,2004,RFn,2,636,307000
8,60,NA,10382,Pave,1Fam,7,1973,1107,2,1,2,TA,Attchd,1973,RFn,2,484,200000
9,50,51,6120,Pave,1Fam,7,1931,952,2,0,2,TA,Detchd,1931,Unf,2,468,129900
10,190,50,7420,Pave,2fmCon,5,1939,991,1,0,2,TA,Attchd,1939,RFn,1,205,118000
11,20,70,11200,Pave,1Fam,5,1965,1040,1,0,0,NA,Detchd,1965,Unf,1,384,129500
12,60,85,11924,Pave,1Fam,9,2005,1175,3,0,2,Gd,BuiltIn,2005,Fin,3,736,345000
13,20,NA,12968,Pave,1Fam,5,1962,912,1,0,0,NA,Detchd,1962,Unf,1,352,144000
14,20,91,10652,Pave,1Fam,7,2006,1494,2,0,1,Gd,Attchd,2006,RFn,3,840,279500
15,20,NA,10920,Pave,1Fam,6,1960,1253,1,1,1,Fa,Attchd,1960,RFn,1,352,157000
16,45,51,6120,Pave,1Fam,7,1929,832,1,0,0,NA,Detchd,1991,Unf,2,576,132000
17,20,NA,11241,Pave,1Fam,6,1970,1004,1,0,1,TA,Attchd,1970,Fin,2,480,149000
18,90,72,10791,Pave,Duplex,4,1967,0,2,0,0,NA,CarPort,1967,Unf,2,516,90000
19,20,66,13695,Pave,1Fam,5,2004,1114,1,1,0,NA,Detchd,2004,Unf,2,576,159000
20,20,70,7560,Pave,1Fam,5,1958,1029,1,0,0,NA,Attchd,1958,Unf,1,294,139000
21,60,101,14215,Pave,1Fam,8,2005,1158,3,1,1,Gd,BuiltIn,2005,RFn,3,853,325300
22,45,57,7449,Pave,1Fam,7,1930,637,1,0,1,Gd,Attchd,1930,Unf,1,280,139400
23,20,75,9742,Pave,1Fam,8,2002,1777,2,0,1,Gd,Attchd,2002,RFn,2,534,230000
24,120,44,4224,Pave,TwnhsE,5,1976,1040,1,0,1,TA,Attchd,1976,Unf,2,572,129900
25,20,NA,8246,Pave,1Fam,5,1968,1060,1,0,1,TA,Attchd,1968,Unf,1,270,154000
26,20,110,14230,Pave,1Fam,8,2007,1566,2,0,1,Gd,Attchd,2007,RFn,3,890,256300
27,20,60,7200,Pave,1Fam,5,1951,900,1,0,0,NA,Detchd,2005,Unf,2,576,134800
28,20,98,11478,Pave,1Fam,8,2007,1704,2,0,1,Gd,Attchd,2008,RFn,3,772,306000
29,20,47,16321,Pave,1Fam,5,1957,1484,1,0,2,Gd,Attchd,1957,RFn,1,319,207500
30,30,60,6324,Pave,1Fam,4,1927,520,1,0,0,NA,Detchd,1920,Unf,1,240,68500
31,70,50,8500,Pave,1Fam,4,1920,649,1,0,0,NA,Detchd,1920,Unf,1,250,40000
32,20,NA,8544,Pave,1Fam,5,1966,1228,1,1,0,NA,Attchd,1966,Unf,1,271,149350
33,20,85,11049,Pave,1Fam,8,2007,1234,2,0,0,NA,Attchd,2007,RFn,2,484,179900
